condition,symptoms,causes,warnings,recommendations
Abdominal aortic aneurysm,in most cases an aaa causes no noticeable symptoms however if it becomes large some people may develop a pain or a pulsating feeling in their abdomen tummy or persistent back pain an aaa doesn t usually pose a serious threat to health but there s a risk that a larger aneurysm could burst rupture a ruptured aneurysm can cause massive internal bleeding which is usually fatal around 8 out of 10 people with a rupture either die before they reach hospital or don t survive surgery the most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen if you suspect that you or someone else has had a ruptured aneurysm call 999 immediately and ask for an ambulance in most cases an unruptured abdominal aortic aneurysm aaa will cause no symptoms unless it becomes particularly large symptoms of an unruptured aaa may include if you have any of the symptoms above you should see your gp as soon as possible,"It’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors. There are other risk factors you can do something about, including smoking and having high blood pressure and cholesterol level. Having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself. The aorta is the largest blood vessel in the body. It transports oxygen-rich blood away from the heart to the rest of the body. An abdominal aortic aneurysm (AAA) occurs when part of the aorta wall becomes weakened and the large amount of blood that passes through it puts pressure on the weak spot, causing it to bulge outwards to form an aneurysm. The abdominal aorta is usually around 2cm wide – about the width of a garden hosepipe  – but can swell to over 5.5cm, which is what doctors classify as a large aneurysm.","A ruptured aortic aneurysm is a medical emergency, and it’s important to get to hospital as soon as possible. Around 80% of people with a rupture die before they reach hospital or don’t survive emergency surgery. This is why theNHS AAA Screening Programmewas introduced, so dangerously large aneurysms can be treated before they burst. If you suspect that you or someone in your care has had a ruptured aneurysm, call 999 immediately and ask for an ambulance.","If a large AAA is detected before it ruptures, most people will be advised to have treatment, to prevent it rupturing. This is usually done with surgery to replace the weakened section of the blood vessel with a piece of synthetic tubing. If surgery is not advisable – or if you decide not to have it – there are a number of non-surgical treatments that can reduce the risk of an aneurysm rupturing. They include medications to lower your cholesterol and blood pressure, andquitting smoking. You will also have the size of your aneurysm checked regularly with ultrasound scanning. Treatment for an abdominal aortic aneurysm (AAA) depends on several factors, including the aneurysm’s size, your age and general health. In general, if you have a large aneurysm (5.5cm or larger) you will be advised to have surgery, either to strengthen the swollen section of the aorta or to replace it with a piece of synthetic tubing. This is because the risk of the aneurysm rupturing is usually greater than the risk of having it repaired. If you have a small (3.0-4.4cm) or medium (4.5-5.4cm) aneurysm, you will be offered regular scans to check its size. You will also be given advice on how to slow its growth and reduce the risk of it rupturing – for example, stopping smoking – and perhaps medications to reduce your blood pressure and cholesterol level. Emergency treatment for a ruptured AAA is based on the same principle as preventative treatment. Grafts are used to repair the ruptured aneurysm. The decision on whether to perform open or endovascular surgery is made on a case-by-case basis by the surgeon carrying out the operation."
Achilles tendinopathy,symptoms may vary from person to person they can appear gradually or suddenly people may experience people can have one or multiple symptoms,Achilles tendinopathy can occur in both active and inactive people. The causes can be varied but there are some common factors that are important.These can include:,,"Managing Achilles tendinopathy can take time, in most cases several months or more. Learn about exercises for foot conditions To help manage the pain you can take painkillers. Read more about taking painkillers Achilles tendinopathy does not improve with rest, so, to help your recovery it’s important to keep up as much of your normal daily activity as you can. You may have to modify what you do, by taking breaks, doing less or changing activity. When you see a Healthcare Professional they will give guidance on what exercise levels you should be aiming for. If you’re waiting to see a Healthcare Professional you should be trying to do some exercise, this may cause some discomfort and short term pain that returns back to your normal level within a few hours."
Acne,acne can cause different kinds of spots blackheads are small black or yellowish bumps on the skin whiteheads are similar to blackheads but may be firmer papules are small red bumps that may feel tender or sore pustules are similar to papules but have a white tip in the centre this is caused by a build up of pus nodules are large hard lumps that build up beneath the surface of the skin and can be painful severe acne can cause nodules and cysts these are large pus filled lumps that can lead to scarring,"Sebaceous glands are tiny glands found near the surface of the skin. They produce an oily substance called sebum to stop the hair and skin from drying out. In acne, the sebaceous glands produce too much sebum. This mixes with dead skin cells and blocks hair follicles. Hair follicles are small holes that an individual hair grows out of. This blockage can cause symptoms of acne like whiteheads or blackheads. The blocked hair follicles can also become infected by bacteria on the skin that would usually be harmless. This causes papules, pustules, nodules or cysts. Acne is common in women. It can be a sign of a hormonal imbalance which may be caused by: There are other causes of acne, including: There’s no evidence that poor hygiene or sexual activity play a role in acne.",,"Treatment for acne depends on how severe it is. Treatments may include creams that you put on your skin or oral medications. A pharmacist can treat acne. If this treatment doesn’t work, or your acne is severe, they may advise you to speak to your GP. It can take several months of treatment before acne symptoms improve. It’s important to be patient and continue your treatment, even if it doesn’t improve your symptoms immediately. Hormonal therapies can often benefit women with acne. This is especially helpful if acne: If you don’t already use it, your GP may recommend thecombined oral contraceptive pill, even if you’re not sexually active. The combined pill can often help to improve acne in women, but it may take up to a year before the full benefits are seen. If you have severe acne, your GP may refer you to an expert in treating skin conditions (a dermatologist). For example, if you have: A combination of antibiotic tablets and topical treatments that you apply directly to your skin may be used to treat severe acne. If this doesn’t work, a medication calledisotretinoin (Roaccutane)may be prescribed. Your healthcare team will discuss if this treatment is suitable for you."
Acute lymphoblastic leukaemia,symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of blast cells immature white blood cells in your blood increases most of the symptoms are caused by the lack of healthy blood cells in your blood supply symptoms of acute lymphoblastic leukaemia include in some cases of acute lymphoblastic leukaemia the affected cells can spread from your bloodstream into your central nervous system this can cause a series of neurological symptoms related to the brain and nervous system including,"Acute lymphoblastic leukaemia is caused by a DNA mutation in the stem cells causing too many white blood cells to be produced. The white blood cells are also released from the bone marrow before they are mature and able to fight infection like fully developed white blood cells. As the number of immature cells increases, the number of healthy red blood cells and platelets fall, and it’s this fall which causes many of the symptoms of leukaemia. It is not known exactly what causes this DNA mutation to occur, but there are a few factors which may increase the risk of developing acute lymphoblastic leukaemia.",Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of immature white blood cells in your blood increases. Symptoms include: Read more about thesymptoms of acute lymphoblastic leukaemia,"Treatment for acute lymphoblastic leukaemia usually begins a few days after diagnosis as it’s an aggressive condition that develops rapidly. Treatment for acute lymphoblastic leukaemia is carried out in stages: Maintenance only seems to be effective in treating acute lymphoblastic leukaemia; it’s not usually used in the treatment ofacute myeloid leukaemia. As well as chemotherapy and imatinib, other treatments are used in some circumstances. These are described below. Dasatinib is a new type of medication used to treat Philadelphia chromosome-positive acute lymphoblastic leukaemia, when all other treatments have proved unsuccessful. Dasatinib blocks a protein called tyrosine kinase that helps stimulate the growth of cancer cells. Dasatinib cannot cure acute leukaemia but it can slow its growth, helping to relieve symptoms and prolong life. The National Institute for Health and Care Excellence (NICE) has not yet made a decision about whether the NHS should provide treatment with dasatinib for people with acute lymphoblastic leukaemia. This means it will be at the discretion of your local clinical commissioning group as to whether you will be offered the drug. Radiotherapyinvolves using high doses of controlled radiation to kill cancerous cells. There are two main reasons why radiotherapy is usually used to treat acute leukaemia: Side effects of both types of radiotherapy include: The side effects should pass once your course of radiotherapy has been completed. However, your skin may be very sensitive to the effects of light for several months after the treatment has finished. If this is the case, avoid sunbathing or exposure to sources of artificial light, such as sunbeds, for several months. Many younger children treated with radiotherapy will go on to have restricted physical growth during puberty. A small number of people develop cataracts several years after radiotherapy. Cataracts are cloudy patches in the lens (the transparent structure at the front of the eye) that can make your vision blurred or misty. Cataracts can usually be successfully treated using surgery. Read more aboutcataracts If you or your child do not respond to chemotherapy, a possible alternative treatment option is bone marrow or stem cell transplantation. Transplantations are more successful if the donor has the same tissue type as you, so the ideal donor is usually a brother or sister. Before transplantation can take place, the person receiving the transplant will need to have aggressive high-dose chemotherapy and radiotherapy to destroy any cancerous cells in their body. This can put a big strain on the body so transplantations are usually only successful when they are carried out in children and young people, or older people who are in good health, and when there is a suitable donor, such as a brother or sister. Read aboutbone marrow transplantationfor more information"
Acute lymphoblastic leukaemia: Children,as the leukaemia cells multiply in the bone marrow the production of normal blood cells is reduced children may therefore become tired and lethargic because of anaemia which is caused by a lack of red blood cells children may develop bruises and bleeding may take longer to stop because of the low number of platelets present in their blood which help blood to clot sometimes children suffer from infections because of low numbers of normal white blood cells a child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands at first the symptoms are just like those of a viral infection but when they continue for more than a week or two the diagnosis usually becomes clear,"The exact cause of ALL is unknown. Research is going on all the time into possible causes of this disease. Children with certain genetic disorders, such as Down’s syndrome, are known to have a higher risk of developing leukaemia. Brothers and sisters of a child with ALL (particularly identical twins) have a slightly increased risk of developing ALL themselves, although this risk is still small. Like all cancers, ALL is not infectious and cannot be passed on to other people.",,"The aim of treatment for ALL is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for ALL and is given according to a treatment plan (often called a protocol or regimen). The treatment is given in several phases, or ‘blocks’. This phase involves intensive treatment, aimed at destroying as many leukaemia cells as possible and is usually started within days of being diagnosed. The induction phase lasts 4 to 6 weeks. A bone marrow test is taken at the end of induction treatment to confirm whether or not the child still has leukaemia. The sample that is taken is looked at under a microscope and when there is no evidence of leukaemia, the child’s condition is referred to as being in ‘remission’. The next phase of treatment is aimed at maintaining the remission and preventing the spread of leukaemia cells into the brain and spinal cord (the central nervous system, or CNS). CNS treatment involves injecting a drug, usually methotrexate lumbar puncture. After this consolidation treatment there is a recovery period which is called interim maintenance. This is when more drugs will be given to try to keep the leukaemia in remission. The exact details will depend on which arm of treatment your child follows and will be discussed in detail by your child’s doctor as it depends on your child’s response to treatment so far. Further doses of chemotherapy treatment, called ‘delayed intensification’, are given to kill off any remaining leukaemia cells. This phase of treatment lasts for 2 years from the start of interim maintenance for girls and 3 years from the start of interim maintenance for boys. It involves the child taking daily and weekly tablets, some children also have monthly injections of chemotherapy and oral pulses of steroids and 3-monthly intrathecal treatment. Children will be able to take part in their normal daily activities as soon as they feel able to. Most children return to school before beginning maintenance treatment. Bone marrow treatment is only needed by a minority of patients and is used for children with ALL that is likely to come back following standard chemotherapy. In some situations, it may be necessary for boys to have radiotherapy to their testicles. This is because leukaemia cells can survive in the testicles despite chemotherapy. Children who have leukaemia cells in their CNS when they are first diagnosed with ALL need more frequent lumbar punctures with intrathecal chemotherapy. Your child’s specialist will discuss with you which treatment and how much of it your child needs, and will answer any questions you have. Many cancer treatments will causeside effects. This is because while the treatments are killing the cancer cells, they can also damage some normal cells. Some of the main side effects of chemotherapy are: Steroid medicines can also cause side effects such as: Most side effects are temporary, and there are ways of reducing them and supporting your child through them. Your child’s doctor or nurse will talk to you about any possible side effects. It’s important to discuss any side effects your child is having with the team treating them, so that they know how your child is feeling. A small number of children may develop late side effects, sometimes many years later. These include possible problems with puberty and fertility, a change in the way their heart works and a small increase in the risk of developing another cancer later in life. Your child’s doctor or nurse will talk to you about any possible late side effects. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness, usually by comparing the standard treatment with a new or modified version. Specialist doctors carry out trials for ALL. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial and will answer any questions you have. Written information is provided to help explain things. Taking part in a research trial is completely voluntary, and you’ll be given enough time to decide if it is right for your child. Sometimes, clinical trials are not available for your child. This may be because a recent trial has just finished, or because the condition is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the UK. TheChildren’s Cancer and Leukaemia Group(CCLG) is an important organisation which helps to produce these guidelines. Most children with ALL are cured. If the leukaemia recurs after initial treatment, it usually does so within the first three years. Further treatment can then be given. Long-term side effects (late side effects) are rare, and most children with ALL grow and develop normally. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor, who knows the situation in detail."
Acute lymphoblastic leukaemia: Teenagers and young adults,many of the symptoms of all are caused by having fewer than normal healthy blood cells in the body symptoms can include there can be other reasons you may have these symptoms but if you are worried that you may have all you should speak to your gp they ll examine you and refer you to a hospital if they think you need to see a specialist doctor,"It’s not known exactly what causes ALL. Research is going on to try to find out. Young people with some genetic conditions, such asDown’s syndromeor Li-Fraumeni syndrome, are at an increased risk of developing ALL. A genetic condition is something you are born with.",,"The main treatment for acute lymphoblastic leukaemia (ALL) ischemotherapy. This means having anti-cancer drugs to destroy the leukaemia cells. You’ll also have drugs calledsteroids, which help the chemotherapy to work. The treatment for ALL is pretty intensive at times and can cause unpleasant side effects. But you’ll be in close contact with the hospital when you’re most likely to feel unwell and the staff will be able to help if things get tough. Don’t feel you have to be brave. Be honest about how you are feeling with your doctors and nurses. They can give you medicines that can help you feel better. ALL is treated in 3 phases: You usually start chemotherapy pretty quickly after finding out that you have ALL. You’ll be in hospital for your treatment to begin with. If you’re 18 or younger, you’ll be treated in a specialist Principal Treatment Centre (PTC) for teenagers and young adults (TYA). If you’re 19 or older, you’ll be offered the choice of having treatment at the PTC or another hospital closer to home called a TYA designated hospital. You’ll be given chemotherapy as tablets, by injection and into your bloodstream (intravenously). You’ll also be given chemotherapy into the fluid around the spinal cord to make sure the leukaemia cells can’t hide there. This is called central nervous system (CNS) therapy. It’s also known as intrathecal therapy. You’ll have a ‘line’ put in to one of your main veins to make it easier for you to have intravenous treatment. Your nurses and doctors can also use the line to take blood samples for blood tests. There are different kinds of lines. Having chemotherapy can be hard. But the staff looking after you will give you medicines to help you cope with any side effects so you can stay strong enough to have treatment. And you’ll be given medicines to stop you feeling sick and antibiotics to help prevent infections. There will probably be times when you feel rough and other times when you’ll feel better. You might also feel upset, down or irritable. Talking to someone you trust can help you cope with these feelings. Being in hospital or coming up to hospital for clinics and treatment can be frustrating, especially when you miss out on stuff happening at school, college, university or work, or on things your friends are doing. You could try talking to your friends and family about this and see what they can do to help you. It can also help to talk to any new friends you’ve made who are going through similar experiences to you. We have more information aboutchemotherapythat has been written for people of all ages, not just teens and young adults."
Acute myeloid leukaemia,thesymptoms of amlusually develop over a few weeks and become increasingly more severe symptoms can include in more advanced cases aml can make you extremely vulnerable to life threatening infections or serious internal bleeding read more about thecomplications of aml the symptoms of acute myeloid leukaemia aml usually develop over a few weeks becoming more severe as the number of immature white blood cells blast cells in your blood increases symptoms of aml can include in rare cases of aml the affected cells can spread into the central nervous system this can cause symptoms such asheadaches fits seizures vomiting blurred vision and dizziness,"AML occurs when specialised cells called stem cells, which are found in the bone marrow (a spongy material inside the bones), produce too many immature white blood cells. These immature cells are known as blast cells. Blast cells don’t have the infection-fighting properties of healthy white blood cells, and producing too many can lead to a decrease in the number of red blood cells (which carry oxygen in the blood) and platelets (cells that help the blood to clot). It’s not clear exactly why this happens and, in most cases, there’s no identifiable cause. However, a number of factors that can increase your risk of developing AML have been identified. These include: Read more about thecauses of AML Acute myeloid leukaemia (AML) is caused by a DNA mutation in the stem cells in your bone marrow that produce red blood cells, platelets and infection-fighting white blood cells. The mutation causes the stem cells to produce many more white blood cells that are needed. The white blood cells produced are still immature, so they don’t have the infection-fighting properties of fully developed white blood cells. These immature cells are known as ‘blast cells’. As the number of immature cells increases, the amount of healthy red blood cells and platelets decrease, and it’s this fall that causes many of thesymptoms of leukaemia.",,"AML is an aggressive type of cancer that can develop rapidly, so treatment usually needs to begin soon after a diagnosis is confirmed. Chemotherapyis the main treatment for AML. It’s used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing). In some cases, intensive chemotherapy and radiotherapy may be needed, in combination with abone marrow or stem cell transplant, to achieve a cure. Read more abouttreating AML Acute myeloid leukaemia (AML) is an aggressive condition that develops rapidly, so treatment will usually begin a few days after a diagnosis has been confirmed. As AML is a complex condition, it’s usually treated by a multidisciplinary team (MDT) – a group of different specialists working together. Treatment for AML is often carried out in 2 stages: The induction stage of treatment isn’t always successful and sometimes needs to be repeated before consolidation can begin. If you have a relapse after treatment, both re-induction and consolidation may need to be carried out. This may be the same as your first treatment, although it’s likely to involve different medications or a stem cell transplant. If you’re thought to have a high risk of experiencingcomplications of AML treatment– for example, if you’re over 75 years of age or have another underlying health condition – less intensive chemotherapy treatment may be carried out. This is less likely to successfully kill all of the cancerous cells in your body, but it can help control your condition. Many other treatments are used for AML. Radiotherapyinvolves using high doses of controlled radiation to kill cancerous cells. There are 2 main reasons why radiotherapy is usually used to treat AML: Side effects of radiotherapycan include hair loss, nausea and fatigue. The side effects should pass once your course of radiotherapy has been completed. If chemotherapy doesn’t work, a possible alternative treatment option is abone marrow or stem cell transplant. Before transplantation can take place, the person receiving the transplant will need to have intensive high-dose chemotherapy and possibly radiotherapy to destroy the cells in their bone marrow. The donated stem cells are given through a tube into a blood vessel, in a similar way to chemotherapy medication. This process can put an enormous amount of strain on the body and cause significant side effects and potential complications, so you’ll usually need to stay in hospital for a few weeks. Transplantations have better outcomes if the donor has the same tissue type as the person receiving the donation. The best candidate to provide a donation is usually a brother or sister with the same tissue type. Transplantations are most successful when they’re carried out on children and young people, or older people who are otherwise in good health, and when there’s a suitable donor, such as a brother or sister. Read aboutbone marrow donation Azacitidine is a possible alternative treatment for adults with AML who can’t have a stem cell transplant. It’s recommended by the National Institute for Health and Care Excellence (NICE) for use in certain circumstances – for example, depending on the characteristics of the person’s blood and bone marrow. Azacitidine is a chemotherapy medication that’s given by injection under the skin. It interferes with the growth of cancer cells and destroys them, and also helps bone marrow to produce normal blood cells. NICE has more information aboutazacitidine for the treatment of AML In the UK, a number of clinical trials are currently underway that aim to find the best way of treating AML. Clinical trials are studies that use new and experimental techniques to see how well they work in treating, and possibly curing, AML. As part of your treatment, your care team may suggest taking part in aclinical trialto help researchers learn more about the best way to treat your AML, and AML in general. If you take part in a clinical trial, you may be offered medication that isn’t licensed for use in the UK and isn’t normally available. However, there’s no guarantee that the techniques being studied in the clinical trial will work better than current treatments. Your care team can tell you whether there are any clinical trials available in your area, and can explain the benefits and risks involved."
Acute myeloid leukaemia: Children,as the leukaemia cells multiply in the bone marrow the production of normal blood cells is reduced children may therefore become tired and lethargic because of anaemia which is caused by a lack of red blood cells children may develop bruises and bleeding may take longer to stop because of the low number of platelets present in their blood sometimes they may suffer from infections because of low numbers of normal white blood cells a child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands at first the symptoms are just like those of a viral infection but when they continue for more than a week or two the diagnosis usually becomes clear,"The exact cause of AML is unknown. Research into possible causes of this disease is ongoing. Children with certain genetic disorders, such asDown’s syndromeor Li-Fraumeni syndrome, are known to have a higher risk of developing leukaemia. Brothers and sisters of a child with AML have a slightly increased risk of developing it, although this risk is still small. Other non-cancerous conditions, such as aplastic anaemia or the myelodysplastic syndromes (MDS), may increase a child’s risk of developing AML. AML, like all types of cancer, is not infectious and cannot be passed on to other people.",,"The aim of treatment for AML is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for AML. Usually a combination of chemotherapy drugs is given, according to a treatment plan (often called a protocol or regimen). The treatment usually has different phases. This phase involves intensive treatment, aimed at destroying as many leukaemia cells as possible. It usually involves 2 courses (cycles) of a combination of chemotherapy drugs. A bone marrow test is taken at the end of induction treatment to confirm whether or not the child still has leukaemia. When there is no evidence of leukaemia, the child’s condition is referred to as being in remission. When there are no signs of the leukaemia in the blood or bone marrow, further treatment is often given. This phase of the treatment aims to destroy any leukaemia cells that may be left and to help stop the AML from coming back. This treatment usually involves 2 more courses of chemotherapy. This treatment is usually only used for children with AML that is likely to come back or has come back (recurred) following standard chemotherapy. AML may sometimes develop in the brain and spinal cord. This can be prevented by injecting chemotherapy drugs directly into the spinal fluid during a lumbar puncture (intrathecal chemotherapy). Intrathecal chemotherapy is usually given after each of the first 2 courses of chemotherapy. Sometimes a more intensive treatment is needed, and the intrathecal drugs are given more frequently until all the regular chemotherapy has been completed. Occasionally, radiotherapy to the brain is also necessary. Many cancer treatments will causeside effects. This is because while the treatments are killing the cancer cells, they can also damage some normal cells. Some of the main side effects are: Most side effects are temporary, and there are ways of reducing them and supporting your child through them. Your child’s doctor or nurse will talk to you about side effects. A small number of children may develop late side effects, sometimes many years later. These include possible problems with puberty and fertility, a change in the way the heart works, and a small increase in the risk of developing a second cancer in later life. Your child’s doctor or nurse will talk to you about any possible late side effects. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness, usually by comparing the standard treatment with a new or modified version. Specialist doctors carry out trials for AML. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial and will answer any questions you have. Written information is often provided to help explain things. Taking part in a research trial is completely voluntary, and you’ll be given plenty of time to decide if it’s right for your child. Sometimes, clinical trials are not available for your child’s cancer. This may be because a recent trial has just finished, or because the cancer is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the country. TheChildren’s Cancer and Leukaemia Group(CCLG) is an important organisation which helps to produce these guidelines. Many children with AML are cured. If the leukaemia comes back after initial treatment, it usually does so within the first 3 years. Most children with AML grow and develop normally. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor, who knows the situation in detail."
Acute myeloid leukaemia: Teenagers and young adults,many of the symptoms of aml are caused by having fewer than normal healthy blood cells in the body symptoms can include,It’s not known exactly what causes AML. Research is going on to try to find out. We do know some things might increase the risk of AML:,,"The main treatment for acute myeloid leukaemia (AML) is chemotherapy. This means having anti-cancer drugs to destroy the leukaemia cells. You’ll also have drugs called steroids, which help the chemotherapy to work. The treatment for AML is pretty intensive at times and can cause unpleasant side effects. But you’ll be in hospital when you’re most likely to feel unwell, and the staff can help if things get tough. Don’t feel you have to be brave. Be honest about how you’re feeling with your doctors and nurses. They can give you medicines to help you feel better. There are different phases of treatment for AML: Very often, treatment is given as part of a clinical trial or research study, but it will be your decision whether to take part in the trial or not. Clinical trials help doctors to keep improving treatment for leukaemia. You usually start chemotherapy pretty quickly after finding out that you have AML. You’ll be in hospital for your treatment to begin with. If you’re 18 or younger, you’ll be treated in a specialist Principal Treatment Centre (PTC) for teenage and young adults (TYA). If you’re 19 or older, you’ll be offered the choice of having treatment at the PTC or another hospital closer to home called a TYA designated hospital. Most chemotherapy for AML is given into the bloodstream (intravenously). So you’ll have a ‘line’ put into one of your main veins to make it easier for you to have intravenous chemotherapy. There are different kinds of lines. You’ll also be given chemotherapy into the fluid around your spinal cord and brain. This is to get rid of any leukaemia cells that might be hiding there. This type of treatment is called central nervous system (CNS) therapy. Having chemotherapy can be hard, but the staff looking after you will give you medicines to help you cope with any side effects so you can stay strong enough to have treatment. And you’ll be given medicines to help you feel less sick and antibiotics to help prevent infections. There will probably be times when you feel rough and other times when you’ll feel better. You might also feel upset, down or irritable. Talking to someone you trust can help you cope with these feelings. Being in hospital for long periods can be frustrating, especially when you miss out on stuff happening at school, college, university or work or on things your friends are doing. You could try talking to your friends and family about this and see what they can do to help you. This phase of treatment is sometimes also called consolidation or intensification treatment. It’s given to prevent the leukaemia from returning (known as a relapse). When you’re in remission, it means the doctors can’t see any leukaemia cells in your blood or bone marrow samples under the microscope. But there may still be leukaemia cells hiding in your body, so further treatment is needed to get rid of these cells. You start post-remission treatment soon after you complete remission induction. You’ll usually have 2 courses of treatment. You might be given the same chemotherapy drugs you’ve had before (perhaps at similar or higher doses) or you might be given different chemotherapy drugs. When your doctors decide what chemotherapy treatment plan to give you, they will take into account: The following drugs may be used to treat you:"
Acute pancreatitis,the main symptom of acute pancreatitis is a severe dull pain around the top of your stomach that develops suddenly this aching pain often gets steadily worse and can travel along your back or below your left shoulder blade eating or drinking may also make you feel worse very quickly especially fatty foods leaning forward or curling into a ball may help to relieve the pain but lying flat on your back often increases the pain acute pancreatitis caused bygallstonesusually develops after eating a large meal if the condition is caused by alcohol the pain often develops 6 to 12 hours after drinking a significant amount of alcohol other symptoms of acute pancreatitis can include,"Most cases of acute pancreatitis are closely linked to gallstones or to alcohol consumption, although the exact cause isn’t always clear. Less common causes of acute pancreatitis include: Once the condition is under control, the underlying cause may need to be treated. If agallstoneis responsible for the pancreatitis, you may need a procedure called endoscopic retrograde cholangiopancreatography (ERCP), or your gallbladder may need to be removed. Gallbladder removal surgerymay be done while you’re in hospital, or it may be planned for several weeks’ time. Having your gallbladder removed should have no significant effect on your health, other than making it more difficult to digest certain foods, such as fatty or spicy foods. An ERCP procedure is an alternative treatment for gallstones. It involves using a narrow, flexible tube known as an endoscope, which has a camera on one end. X-raysguide the endoscope into your digestive system, and surgical instruments are passed down the endoscope to remove the gallstones. After recovering from acute pancreatitis, alcohol should be completely avoided if this was the cause of the condition. If you find this difficult, you’ll probably need additional treatment. Treatment options for alcohol dependence include:",,"Treatment for acute pancreatitis focuses on supporting the functions of the body until the inflammation has passed. This usually involves admission to hospital so you can be given fluids into a vein (intravenous fluids), as well as pain relief, nutritional support and oxygen through tubes into your nose. Most people with acute pancreatitis improve within a week and are well enough to leave hospital after 5 to 10 days. However, recovery takes longer in severe cases, as complications that require additional treatment may develop. Read more abouttreating acute pancreatitis. Acute pancreatitis is treated in hospital, where you’ll be closely monitored for signs of serious problems and given supportive treatment, such as fluids and oxygen. Many people are well enough to leave hospital after 5 to 10 days. In severe cases, complications can develop that require specific additional treatment and you’ll need to be admitted to a high dependency unit or intensive care unit (ICU). In these cases, recovery may take much longer, and the condition can be fatal. Read about the potentialcomplications of acute pancreatitisfor more information on severe cases."
